,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,№,Vessel name,Flag,Shipowner,Ice class,Type,Cargo,"Qty (mt) /
passangers","Max
draught
(m)",Depature,Destination,"I/b
assistance","WBNSR
(Kara Gate)","WBNSR
(Cape Zhelaniya)","EBNSR
(Cape Dezhnev)","NSR
passage
time (days)"
1,1,"Yasnyi (with
floating crane СПК-
42150)",Russia,"FBI ""MRS""","Arc 5
(crane Ice2)",Rescue,None,0,"4,9","Saint-
Petersbourg","Petropavlovsk-
Kamchatskiy",No,30.07.15 2:18,,15.08.15 23:30,"16,9"
2,2,Yong Sheng,China,Cosco Shipping,Arc 4,"General
cargo
carrier","Steel coils; Project
and Windmill tower
and blades",12 716,"8,0",Shanghai (China),"Varberg
(Sweden)","Taymyr
Atomflot",,10.08.15 15:20,02.08.15 3:30,"8,5"
3,3,Winter Bay,"St. Kitts &
Nevis",Dalriada Ltd,Ice 1,Reefer,Frozen fish & meat,1 938,"6,2","Tromse
(Norway)","Osaka
(Japan)",No,,06.08.15 15:00,16.08.15 8:23,"9,7"
4,4,Garmonia,Russia,"Yuzmorrybflot
Ltd.",Arc 4,Reefer,Frozen fish,2 806,"7,2",Nakhodka,Murmansk,"Yamal
Atomflot",24.08.15 19:45,,14.08.15 12:23,"10,3"
5,5,Happy Sky,Netherlands,"BigLift Shipping
B.V.",Arc 4,"General
cargo
carrier",Ballast,0,"6,9","Kirkines
(Norway)","Masan
(South Korea)",No,27.08.15 14:45,,04.09.15 7:25,"7,7"
6,6,Bremen,Bahamas,Hapag Lloyd,Arc 5,"Passanger
ship",Passangers,137,"5,0",Murmansk,Provideniya,No,23.08.15 23:00,,04.09.15 14:21,"11,6"
7,7,Garmonia,Russia,"Yuzmorrybflot
Ltd.",Arc 4,Reefer,Ballast,0,"6,9",Murmansk,Hakhodka,No,06.09.15 7:35,,13.09.15 13:20,"7,2"
8,8,"СПК-43150(with
tugs Kapitan
Martyshkin &
Yasnyi)",Russia,"Ministry of
Defense of the
Russian
Federation",Ice 2,Crane,None,0,"2,5","Saint-
Petersbourg","Petropavlovsk-
Kamchatskiy",No,11.09.15 2:42,,25.09.15 15:30,"14,5"
9,9,Svyatoy Petr,Russia,Valkur Ltd,Arc 4,Tanker,Ballast,0,6,Provideniya,Arkhangelsk,No,20.09.15 20:10,,08.09.15 19:21,"12,0"
10,10,Yong Sheng,China,Cosco Shipping,Arc 4,"General
cargo
carrier","Silver & Lead
concentrates;
Steel pipes",17 070,"8,5","Varberg
(Sweden)","Busan
(Korea)",No,,12.09.15 14:20,20.09.15 4:45,"7,6"
11,11,HHL Valparaiso,Liberia,"Hansa Heavy Lift
Gmbh",Arc 4,"General
cargo
carrier",Windmill equipment,3 214,"9,5","Tianjin
(China)","Gdynia
(Poland)","Y amal
Atomflot",,03.10.15 1:20,20.09.15 11:30,"12,6"
12,12,Kendrick,Russia,"LLC Mpit Ship
Management",Arc 4,Tug,None,0,"4,8","Petropavlovsk-
Kamchatskiy",Murmansk,No,06.10.15 6:10,,22.09.15 10:51,"13,8"
13,13,Winter Bay,"St. Kitts &
Nevis",Darliada Ltd,Ice 1,Reefer,Frozen fish,1 842,"5,7","Petropavlovsk-
Kamchatskiy",Saint-Petersburg,No,,10.10.15 5:45,01.10.15 12:20,"8,7"
14,14,Yasnyi,Russia,"FBI ""MRS""",Arc 5,Rescue,None,0,"4,9","Petropavlovsk-
Kamchatskiy",Murmansk,No,23.10.15 17:11,,11.10.15 0:05,"12,7"
15,15,Volk Arktiki,Russia,"LLC
Riboloveckaya
Artel Vilychinsk",Ice 3,Fishinng,Ballast,0,"4,0","Petropavlovsk-
Kamchatskiy",Murmansk,No,28.10.15 10:04,,14.10.15 2:30,"14,3"
16,16,Palladiy,Russia,Valkur Ltd,Arc 5,Tanker,Ballast,0,"6,4","Petropavlovsk-
Kamchatskiy",Murmansk,"Vaigach
Atomflot",10.11.15 9:28,,25.10.15 2:00,"16,3"
17,17,Kigoriak,Russia,Femco Mng.,Ib 6,Iceb. Tug,None,0,"8,3",Shanghai (China),Murmansk,No,22.11.15 2:50,,08.11.15 6:20,"13,9"
18,18,Tor Viking,Sweden,"Viking Supply
Ships A/S",Arc 7,Iceb. Tug,None,0,"7,2","Seattle
(USA)","L andskrona
(Sweden)",No,,10.12.15 12:00,29.11.15 7:10,"11,2"
19,Total,,,,,,,39 586/137,Average,,,,,,,"10,6"
